company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Stockholm nätverksteknik AB,5568630171,2.0,42.0,2.0,1,1.0,0.0
Civilbyrån Konstruktion & Design AB,5568702251,4.0,56.0,5.0,2,4.0,0.0
Fasticon AB,5590100755,5.0,54.0,4.0,3,18.0,0.0
Laursen Improvement AB,5590444708,2.0,46.0,3.0,2,1.0,0.0
J.Design Kommunikation AB,5566554522,3.0,49.0,6.0,5,17.0,0.0
Kjellboms Plåtslageri AB,5590820048,2.0,47.0,2.0,1,2.0,0.0
FUWL Studio AB,5569436198,4.0,44.0,6.0,5,6.0,0.0
VA-RESURS Stockholm AB,5591384770,4.0,37.0,2.0,1,2.0,0.0
STORSTADEN STOCKHOLM BOSTAD AB,5590623368,3.0,31.0,23.0,22,89.0,0.0
TMK Kommunikation AB,5567236947,2.0,43.0,2.0,1,5.0,0.0
Planograf i Stockholm AB,5566677968,5.0,58.0,2.0,1,1.0,0.0
MEBA Industrigolv Aktiebolag,5563772820,4.0,54.0,5.0,4,2.0,0.0
GrundFab mark och anläggning AB,5591151088,3.0,50.0,9.0,6,9.0,0.0
a-arkitekter i Sverige AB,5569743775,2.0,44.0,32.0,31,24.0,0.0
Rörsystem i storstockholm AB,5590543566,3.0,42.0,5.0,2,1.0,0.0
Projektteamet Stockholm AB,5590039003,2.0,46.0,3.0,2,2.0,0.0
TBB Rör & VVS Service AB,5591310676,4.0,40.0,4.0,3,8.0,0.0
Samglas AB,5566102629,2.0,47.0,3.0,2,0.0,0.0
TT Kran & Montage AB,5591819593,4.0,49.0,9.0,5,5.0,0.0
Injector Management AB,5569098261,2.0,37.0,2.0,1,6.0,0.0
Överjärva Byggnadsvård AB,5568547193,4.0,54.0,3.0,2,2.0,0.0
Täby Miljövärme AB,5567581573,18.0,61.0,2.0,1,31.0,0.0
Blooc AB,5590751508,4.0,40.0,5.0,4,3.0,0.25
Lots Security AB,5567262224,2.0,67.0,2.0,1,5.0,0.0
Viksjököket AB,5569582306,4.0,36.0,2.0,1,1.0,0.0
Nordisk Port Service AB,5569234775,2.0,45.0,3.0,2,1.0,0.0
Molnetto Group AB,5590808910,2.0,42.0,2.0,1,1.0,0.0
OneCo Infra AB,5591612386,7.0,55.0,6.0,5,12.0,0.0
Swelöv Ställning och Montage AB,5592075112,6.0,45.0,8.0,7,6.0,0.0
Social Area Internationell Design AB,5590265293,2.0,51.0,3.0,2,7.0,0.0
TTN Bygg & Inredning AB,5569309155,2.0,41.0,3.0,2,3.0,0.0
Skärgårdsstads Markentreprenad AB,5590847090,2.0,46.0,2.0,1,3.0,0.0
Odén Ställningsmontage AB,5569130841,3.0,49.0,4.0,3,1.0,0.0
OBM Byggnadsmiljö AB,5567735906,7.0,52.0,27.0,26,14.0,0.0
Rådmansö MarkEntreprenad AB,5568812696,3.0,52.0,10.0,6,10.0,0.0
Spridd AB,5566748348,4.0,49.0,2.0,1,3.0,0.0
08 el data och ljusdesign AB,5591109771,2.0,33.0,5.0,4,1.0,0.0
Rörmokeri i Stockholm AB,5569626632,3.0,56.0,4.0,3,8.0,0.0
Nimbus Bygg & Projektledning AB,5590678008,2.0,59.0,6.0,3,11.0,0.0
Ljung & Edling Rör Aktiebolag,5563842227,3.0,49.0,2.0,1,1.0,0.0
ProjektSopsug Sverige AB,5569948895,2.0,38.0,3.0,2,1.0,0.0
Ljusrum Lindahl Löfgren AB,5566375340,3.0,57.0,6.0,5,6.0,0.0
Stockholm Medicare AB,5569703704,3.0,43.0,2.0,1,7.0,0.0
Kennedy Automation AB,5561066613,3.0,54.0,2.0,1,1.0,0.0
Maleon AB,5590346325,2.0,36.0,3.0,2,5.0,0.0
RVLT Plåt & Bygg AB,5568243421,2.0,37.0,3.0,2,1.0,0.0
Thomas Wall Tak & Fastighet AB,5567567317,2.0,49.0,2.0,1,2.0,0.0
SPU Gruppen AB,5590298914,3.0,40.0,10.0,9,20.0,0.0
Rits Arkitekter AB,5590362645,3.0,37.0,2.0,1,3.0,0.0
Stockholm schakt & grus AB,5590039136,3.0,44.0,2.0,1,0.0,0.0
Solid VVS i Sverige AB,5590549951,3.0,38.0,6.0,5,6.0,0.0
Montagegruppen i Stockholm AB,5566867312,2.0,54.0,6.0,5,2.0,0.0
Vibrationsmätarpoolen i Norden Aktiebolag,5562796655,4.0,51.0,3.0,2,9.0,0.0
Hansa Vibrations & Omgivningskontroll AB,5590766092,3.0,52.0,4.0,2,4.0,0.0
Nybergs Lås AB,5567998223,3.0,54.0,4.0,3,1.0,0.0
VV fashion AB,5569610685,2.0,41.0,3.0,2,225.0,0.0
Ross Arkitektur & Design AB,5565294187,3.0,58.0,3.0,2,4.0,0.0
Rivjätten AB,5567500102,2.0,48.0,5.0,4,5.0,0.0
Råsunda Mur; Puts & Kakel AB,5590113014,2.0,45.0,2.0,1,5.0,0.0
Stockholms Berghantering AB,5590815725,2.0,34.0,5.0,4,5.0,0.0
Peo Karlsson Bygg AB,5569208217,3.0,71.0,2.0,1,1.0,0.0
Enepro konsult AB,5566240676,2.0,65.0,2.0,1,5.0,0.0
PN Entreprenad i Sverige AB,5568209620,3.0,49.0,3.0,2,7.0,0.0
Elektropartner Nacka AB,5569666265,5.0,38.0,5.0,3,2.0,0.0
Spoon On Demand AB,5564447489,3.0,47.0,13.0,12,25.0,0.0
CM Franchisor & Projekt AB,5591587398,2.0,37.0,20.0,9,14.0,0.0
Törnbloms Design AB,5566200670,2.0,60.0,3.0,2,0.0,0.0
Sörmlands Tätskikt & Plåt AB,5562599802,2.0,51.0,4.0,3,18.0,0.0
RM Relining & Bygg AB,5590245527,3.0,36.0,3.0,2,0.0,0.0
HOW Arkitekter AB,5569563082,3.0,49.0,2.0,1,3.0,0.0
Pomian Fastighets AB,5569857377,6.0,50.0,18.0,17,20.0,0.0
Prenada AB,5567383145,2.0,52.0,2.0,1,6.0,0.0
Brigada AB,5568515265,2.0,54.0,2.0,1,1.0,0.0
blå arkitektur landskap AB,5566324108,3.0,61.0,2.0,1,6.0,0.0
Byggmaterialhandlarna i Sverige AB,5566486816,8.0,49.0,2.0,1,9.0,0.0
Möller Byggnad AB,5569176893,2.0,51.0,3.0,2,1.0,0.0
SVARKING AB,5569217424,2.0,41.0,7.0,6,2.0,0.0
Lekplatsbolaget Lekamela Aktiebolag,5568810104,3.0,59.0,2.0,1,5.0,0.0
Arkipol AB,5568600596,3.0,58.0,3.0,2,1.0,0.0
Måleribolaget i Enebyberg AB,5567786875,2.0,53.0,3.0,2,4.0,0.0
Villa Gyllensand Aktiebolag,5567528665,2.0,56.0,2.0,1,9.0,0.0
Cyklande rörmokaren Sverige AB,5590952742,2.0,41.0,4.0,3,5.0,0.0
Skoogs Teknikservice AB,5564882420,3.0,45.0,2.0,1,5.0,0.0
Min Byggare i Sverige AB,5567905004,2.0,45.0,8.0,7,10.0,0.0
Aktiebolaget Schnayderman's,5568453848,2.0,42.0,6.0,5,1.0,0.0
Tyresö Bygg & Partners AB,5592039779,2.0,27.0,3.0,2,0.0,0.0
Stora Stadens VVS AB,5568803109,2.0,53.0,3.0,2,4.0,0.0
TST Telge Schakt & Transport AB,5564841335,2.0,49.0,2.0,1,3.0,0.0
RK Sol och Energiteknik AB,5591314785,3.0,54.0,2.0,1,2.0,0.0
Amphi Projekt AB,5567593248,2.0,60.0,6.0,5,3.0,0.0
PROCESS VVS STOCKHOLM AB,5566283098,2.0,44.0,2.0,1,7.0,0.0
JLA Invest AB,5567806830,2.0,42.0,12.0,11,27.0,0.0
stocar group AB,5590720842,2.0,42.0,2.0,1,7.0,0.0
Snickjobb Bygg i Häggvik AB,5567994966,3.0,57.0,2.0,1,13.0,0.0
STIRAB Scandinavian Technical Infrastructure &    Resources AB,5590876032,6.0,52.0,3.0,2,7.0,0.0
SPKTR Design AB,5567630560,2.0,44.0,3.0,2,6.0,0.0
Smedsbo Bygg & Entreprenad AB,5590621560,2.0,50.0,2.0,1,3.0,0.0
Älvsby Bygg & Plåtslageri Aktiebolag,5563491892,2.0,51.0,6.0,5,11.0,0.0
Alligator of Sweden AB,5563754398,4.0,61.0,3.0,2,6.0,0.0
R & R Maskiner AB,5563655801,2.0,48.0,5.0,4,8.0,0.0
TEMONES AB,5590094123,2.0,57.0,2.0,1,2.0,0.0
Nynäs-Ösmo Entreprenad AB,5560642513,3.0,57.0,10.0,9,8.0,0.0
Projekt Kompetens i Stockholm AB,5591410146,3.0,46.0,2.0,1,2.0,0.0
RD El Styr & Ställer i Sthlm AB,5591524789,3.0,41.0,3.0,2,3.0,0.0
Byggbesiktning.se Stockholm AB,5565843892,2.0,46.0,2.0,1,2.0,0.0
Skanska Healthcare AB,5567800395,4.0,55.0,2.0,1,1.0,0.0
Skanska Direkt AB,5567157689,5.0,50.0,208.0,207,18.0,0.0
Bygg- & Designgruppen BDG Entreprenad AB,5591508485,2.0,42.0,7.0,6,2.0,0.0
Sillrén Arkitekter AB,5568713357,2.0,44.0,2.0,1,2.0,0.0
Astadien Byggkonsult AB,5566108162,3.0,52.0,2.0,1,1.0,0.0
Ahlsénarkitekterna Aktiebolag,5561480509,3.0,64.0,4.0,3,3.0,0.0
ELstrax elinstallationer AB,5591513964,2.0,29.0,3.0,2,3.0,0.0
KALIEK AB,5590981758,4.0,34.0,2.0,1,6.0,0.0
PROFCEL AB,5590571310,,,1.0,1,1.0,0.0
WAADE Holding AB,5569829889,4.0,47.0,14.0,6,8.0,0.0
AUCTORITAS Projektstyrning AB,5569835316,4.0,46.0,38.0,36,56.0,0.0
Detail Group Sweden AB,5590284880,2.0,37.0,4.0,2,3.0,0.0
Alstra AB,5565613741,3.0,47.0,5.0,3,5.0,0.0
J&B SALTIS Aktiebolag,5567687909,3.0,37.0,2.0,1,1.0,0.0
kWh Sverige Bygg & Konsult AB,5591514566,3.0,32.0,6.0,4,9.0,0.0
Lidingö Bygg & Snickeri LBS AB,5591027478,2.0,61.0,3.0,2,8.0,0.0
Projektledarna Bygg & Fastighet i Sverige AB,5590871546,8.0,50.0,3.0,2,3.0,0.0
Comarc Projektering Aktiebolag,5563230621,3.0,57.0,3.0,2,3.0,0.0
SPiAB i Stockholm AB,5591152185,3.0,41.0,4.0,3,9.0,0.0
Liwendahls Rör & Värme AB,5590567417,4.0,39.0,2.0,1,0.0,0.0
Pettersson & Marsnäs Måleri; PEMA Aktiebolag,5562673904,2.0,49.0,2.0,1,0.0,0.0
Johan & Bengt Elektriska Aktiebolag,5566617345,2.0,55.0,2.0,1,1.0,0.0
XYZ Bygg i Staden AB,5569358939,1.0,49.0,2.0,1,3.0,0.0
Huss Entreprenad konsult AB,5590764402,2.0,45.0,3.0,2,3.0,0.0
Stefan & Patrik Måleri AB,5590307954,2.0,40.0,7.0,6,1.0,0.0
ElektroWorks Sthlm AB,5562891407,2.0,50.0,2.0,1,2.0,0.0
TrappCentrum i Sthlm AB,5590346184,4.0,47.0,5.0,2,2.0,0.0
ÅKB VVS AB,5568468846,4.0,45.0,2.0,1,0.0,0.0
Resona Utveckling AB,5591242697,2.0,46.0,4.0,3,5.0,0.0
C-Plåt Stockholm AB,5590613393,2.0,39.0,2.0,1,0.0,0.0
WS2 Wallgren Smart Solutions AB,5568879133,2.0,61.0,2.0,1,3.0,0.0
Solarenergy Scandinavia AB,5568720055,2.0,44.0,2.0,1,3.0,0.0
Lervik Design AB,5566170303,2.0,50.0,2.0,1,5.0,0.0
Fönsterkonsultgruppen Nele AB,5568155484,2.0,51.0,4.0,3,4.0,0.0
Varga Entreprenad AB,5591190177,2.0,41.0,2.0,1,2.0,0.0
Guts Entreprenad AB,5590320270,3.0,43.0,6.0,2,2.0,0.0
Salma Bygg; Ström & Måleri AB,5569711186,2.0,38.0,5.0,4,11.0,0.0
Slash x AB,5565545638,2.0,52.0,2.0,1,3.0,0.0
Edström; Sandström & Sandström                    Projektutveckling AB,5591237762,3.0,42.0,7.0,4,4.0,0.0
P & B Plåtslageri Aktiebolag,5563120574,3.0,51.0,2.0,1,1.0,0.0
Bollsta Bygg AB,5591563209,2.0,68.0,4.0,3,1.0,0.0
Grundmaren Projekt AB,5562016781,4.0,58.0,8.0,7,30.0,0.0
Nordic Tile AB,5566708904,3.0,56.0,8.0,7,4.0,0.0
Gram International AB,5567929129,3.0,49.0,10.0,9,6.0,0.0
Rex Arkitektbyrå AB,5563382810,3.0,63.0,2.0,1,10.0,0.0
Vilheim Fastigheter AB,5569530933,2.0,43.0,2.0,1,0.0,0.0
Tesun AB,5591884035,2.0,36.0,2.0,1,1.0,0.0
Norrorts Betonghåltagning AB,5569413502,3.0,34.0,4.0,1,4.0,0.0
Svensk Elverksamhet AB,5590135959,3.0,39.0,6.0,3,2.0,0.0
Wimcon AB,5567430813,1.0,47.0,2.0,1,2.0,0.0
Sjöstadens Bygg och Entreprenad AB,5590808944,2.0,45.0,2.0,1,1.0,0.0
Thermogaia AB,5567284855,4.0,63.0,3.0,2,1.0,0.0
Hisskonsulterna KJM AB,5569161366,3.0,51.0,5.0,4,4.0,0.0
ILR Elmiljö AB,5591136428,2.0,48.0,4.0,3,1.0,0.0
Dallasday AB,5567873590,2.0,50.0,2.0,1,1.0,0.0
Structor AB,5590412309,9.0,53.0,15.0,14,11.0,0.0
Blue Uniform Jeans AB,5568105364,2.0,49.0,2.0,1,1.0,0.0
Dvaliks Bygg & Måleri AB,5590807078,2.0,31.0,2.0,1,3.0,0.0
CapSec AB,5566907423,2.0,65.0,12.0,11,18.0,0.0
Aerius Ventilation AB,5590332366,2.0,28.0,3.0,2,8.0,0.0
Art & Bob Postproduktion AB,5590013636,3.0,51.0,9.0,8,15.0,0.0
PMC El i Örebro AB,5590799515,5.0,44.0,9.0,8,12.0,0.0
OM Nätverksteknik AB,5566095179,3.0,50.0,3.0,2,5.0,0.0
Ahlströms Golv och Bygg AB,5564087376,3.0,41.0,2.0,1,0.0,0.0
Parcon Consulting AB,5591746309,3.0,51.0,2.0,1,6.0,0.0
Kontur arkitektkontor AB,5566398144,3.0,49.0,2.0,1,1.0,0.0
RoiMan El AB,5567628184,3.0,47.0,4.0,3,1.0,0.0
Wase VVS AB,5568512601,2.0,53.0,3.0,2,4.0,0.0
OAX Brand- och Riskkonsult AB,5590745310,3.0,64.0,2.0,1,3.0,0.0
Paygoo AB,5568857576,3.0,54.0,4.0,3,6.0,0.0
Var Dags Rum Kumlin Inredning Aktiebolag,5564924685,2.0,58.0,7.0,6,1.0,0.0
Wallfast Projektutveckling AB,5591141642,2.0,61.0,86.0,85,24.0,0.0
Keops AB,5590576046,2.0,33.0,2.0,1,1.0,0.0
Ernet Bygg & Förvaltning AB,5591273510,2.0,47.0,11.0,10,5.0,0.2
Konsult Entreprenad Wiksberg Aktiebolag,5560905514,2.0,57.0,5.0,4,2.0,0.0
Flygheds Tak AB,5591845945,4.0,33.0,2.0,1,0.0,0.0
Lomar Arkitekter Aktiebolag,5565244836,2.0,62.0,2.0,1,4.0,0.0
Kajsa Knapp AB,5568277817,4.0,48.0,2.0,1,6.0,0.0
Kobac Elektriska AB,5569848632,2.0,36.0,2.0,1,2.0,0.0
Civita AB,5590453642,4.0,39.0,2.0,1,5.0,0.0
PMC El i Norrtälje AB,5567763924,4.0,47.0,9.0,8,12.0,0.0
Sjöliv Commercial AB,5591580641,5.0,48.0,3.0,2,12.0,0.0
Tegel och Hatt AB,5590320684,4.0,42.0,4.0,3,3.0,0.0
Fastighetsförädlarna i Mälardalen Entreprenad AB,5591815971,2.0,53.0,15.0,14,72.0,0.0
Fina's Bemanning AB,5591584353,2.0,55.0,2.0,1,1.0,0.0
Boliodesign AB,5591861637,2.0,35.0,2.0,1,12.0,0.0
Atryz Technologies AB,5567770895,4.0,60.0,2.0,1,8.0,0.0
FSD Stockholm AB,5567314611,3.0,51.0,3.0,2,1.0,0.0
Klimatstyrkan i Stockholm AB,5566435615,2.0,64.0,3.0,2,3.0,0.0
ART Projekt AB,5561712018,3.0,55.0,2.0,1,1.0,0.0
FORBS AB,5591117436,2.0,39.0,5.0,2,4.0,0.0
Matador Projektledning AB,5567220784,2.0,61.0,2.0,1,5.0,0.0
The Factory of Design TFOD AB,5566303508,6.0,49.0,2.0,1,3.0,0.0
Byggledningen IB AB,5590583851,2.0,44.0,7.0,6,27.0,0.0
Spedab Data AB,5590714407,2.0,57.0,4.0,3,13.0,0.0
Vi 2 Målar Sverige AB,5569743155,2.0,35.0,6.0,4,6.0,0.0
Greyshirt AB,5591517338,2.0,45.0,18.0,14,11.0,0.0
GK Group i Sverige AB,5590911243,2.0,27.0,2.0,1,2.0,0.0
Apex Elinstallationer AB,5568291420,3.0,56.0,2.0,1,3.0,0.0
Yxhammar Bygg & Snickeri AB,5568322605,2.0,57.0,2.0,1,2.0,1.0
ERIST AB,5590536503,2.0,37.0,2.0,1,3.0,0.0
StoltProduktion AB,5568559719,2.0,62.0,2.0,1,0.0,0.0
Rosén & Sjöstedt Byggnads AB,5568167844,2.0,52.0,5.0,4,6.0,0.0
DG TAK Renovering AB,5591235675,2.0,39.0,3.0,2,4.0,0.0
Enskede Tak AB,5591217798,2.0,49.0,2.0,1,0.0,0.0
REMUS AB,5562020957,2.0,62.0,2.0,1,6.0,0.0
Svea Ingenjörsbyrå AB,5590852702,2.0,52.0,2.0,1,4.0,0.0
AG Byggproduktion AB,5591087852,2.0,40.0,4.0,3,0.0,0.0
Happytear Aktiebolag,5591676217,3.0,60.0,5.0,4,4.0,0.0
Täby Byggservice Aktiebolag,5566237599,2.0,49.0,2.0,1,5.0,0.0
Legio Bygg & Badrum AB,5590535554,2.0,25.0,2.0,1,1.0,0.0
Pararet AB,5568547474,2.0,52.0,4.0,3,4.0,0.0
Mc Carthys Snickeri & Bygg AB,5566866884,2.0,45.0,3.0,2,6.0,0.0
Byggfab AB,5565917878,2.0,52.0,2.0,1,4.0,0.0
Trönnberg Projekt och Fastighetsutveckling AB,5590722632,2.0,59.0,4.0,1,9.0,0.0
Rait Infrastructure AB,5590255765,3.0,48.0,5.0,3,4.0,0.0
Green S Bygg AB,5591422083,3.0,44.0,18.0,17,38.0,0.0
Atrium Ljungberg Bostad Holding AB,5591176440,3.0,55.0,97.0,96,173.0,0.0
Darnells Elteknik AB,5569815607,2.0,36.0,2.0,1,2.0,0.0
Isolt AB,5591038962,2.0,48.0,5.0,4,6.0,0.0
ETC Bygg AB,5591234934,4.0,62.0,25.0,24,28.0,0.0
FF Bygg & Entreprenad AB,5590256250,2.0,50.0,6.0,5,0.0,0.0
Nybohov golv&målning AB,5590550363,2.0,51.0,4.0,3,11.0,0.0
T&J Real Estate AB,5569675910,3.0,43.0,6.0,5,11.0,0.2
Trademark Outlets STO AB,5564388659,2.0,75.0,27.0,26,26.0,0.0
Norrtelje Eldstäder AB,5591768568,4.0,48.0,6.0,4,1.0,0.0
Kartotek; Kart- och teknikutbildarna              i Haninge AB,5565563599,3.0,64.0,3.0,2,1.0,0.0
Visual Motor AB,5590036959,3.0,46.0,3.0,2,3.0,0.0
Deurell arkitekter AB,5567405955,2.0,59.0,4.0,3,4.0,0.0
Byggkvalitetskonsulten Stockholm AB,5568573827,2.0,42.0,3.0,2,6.0,0.0
VVS-Rörtjänst Stockholm AB,5567761365,3.0,40.0,7.0,6,9.0,0.0
Larmkraft International AB,5569465981,3.0,45.0,2.0,1,1.0,0.0
Vanadis VVS och Bygg teknik AB,5567738488,3.0,50.0,2.0,1,2.0,0.0
Målerifirma Oskar Larsson AB,5568418908,2.0,50.0,2.0,1,3.0,0.0
VHP Måleri AB,5590659479,2.0,43.0,2.0,1,0.0,0.0
Gröndals Elinstallationer AB,5591192231,4.0,46.0,3.0,2,2.0,0.0
Pedersens Åkeri AB,5566612247,2.0,64.0,2.0,1,5.0,0.0
E2 Projekt AB,5591957245,2.0,42.0,2.0,1,4.0,0.0
NT Produkter AB,5590537881,2.0,58.0,5.0,4,1.0,0.0
Sundbyberg Resurs Bygg AB,5569790438,2.0,37.0,3.0,2,1.0,0.0
KRESP Projektledning AB,5590289210,4.0,56.0,3.0,2,6.0,0.0
BRFexperterna M&J AB,5569430761,2.0,61.0,5.0,4,4.0,0.0
GSAM Installation & Försäljning Aktiebolag,5564774031,3.0,66.0,2.0,1,2.0,0.0
TJF Måleri AB,5590953831,3.0,54.0,7.0,6,16.0,0.0
Målerisnabben HGS AB,5569069734,2.0,61.0,2.0,1,2.0,0.0
Unitell Solutions AB,5590608633,2.0,38.0,3.0,2,3.0,0.0
ANVESTPRO AB,5591859870,2.0,46.0,2.0,1,0.0,0.0
Norrländsk Transport & Gräv Mälardalen AB,5590001086,2.0,45.0,4.0,3,5.0,0.0
Thomas Mårtenssons El AB,5568692932,3.0,51.0,2.0,1,3.0,0.0
Entreprenadteknik Stockholm AB,5590719349,5.0,36.0,3.0,2,6.0,0.0
MIBAB Fastigheter AB,5568488158,2.0,33.0,4.0,3,3.0,0.0
O. Nybergs Måleri AB,5569795163,2.0,32.0,9.0,7,4.0,0.0
MXA Entreprenad AB,5591059851,2.0,64.0,5.0,3,2.0,0.0
Byggkollektivet i Stockholm AB,5591519854,6.0,36.0,2.0,1,0.0,0.0
RGAB Renoveragolv AB,5590587217,3.0,37.0,4.0,3,8.0,0.0
Improvement Byggekonomi AB,5568216633,3.0,56.0,2.0,1,1.0,0.0
Komsol Stockholm AB,5568051014,2.0,50.0,4.0,2,2.0,0.0
S-A Gustavsson Service i Nykvarn Aktiebolag,5566360417,2.0,47.0,2.0,1,5.0,0.0
PG Roads AB,5568827603,2.0,50.0,10.0,9,1.0,0.0
ArkHem - Architecture & Construction AB,5590268412,3.0,54.0,2.0,1,6.0,0.0
Valdes Bygg AB,5569522286,2.0,48.0,2.0,1,4.0,0.0
ER Projektpartner AB,5591275689,2.0,32.0,5.0,4,8.0,0.0
EM Rör AB,5591342539,3.0,37.0,2.0,1,4.0,0.0
MP Elektriska i Stockholm AB,5591474837,3.0,43.0,3.0,2,3.0,0.0
Staremo Tillgänglighetskonsult AB,5569490609,2.0,67.0,2.0,1,2.0,0.0
Driftia EL AB,5590438684,4.0,58.0,7.0,5,16.0,0.0
Larsen Contracting AB,5568999865,2.0,46.0,2.0,1,3.0,0.0
JEFF fastighetsutveckling AB,5568381320,3.0,53.0,14.0,12,13.0,0.0
Ulf Nelson Arkitekter AB,5568116296,2.0,50.0,4.0,3,10.0,0.0
Nora Consulting Engineers AB,5569821746,3.0,45.0,2.0,1,3.0,0.0
Lugnet Arkitektur AB,5591177372,5.0,49.0,11.0,9,2.0,0.0
Mod:g develop AB,5569737215,4.0,44.0,10.0,5,25.0,0.0
DSH AB,5590098579,2.0,39.0,2.0,1,2.0,0.0
Järfälla Rör AB,5567547392,2.0,59.0,2.0,1,2.0,0.0
B.R.S. Väst AB,5569575862,3.0,54.0,2.0,1,5.0,0.0
Lysa Elektriska AB,5591374276,2.0,46.0,2.0,1,3.0,0.0
Tre Son Förvaltning AB,5566029368,3.0,45.0,16.0,15,30.0,0.0
Armada Sign AB,5590013800,1.0,49.0,4.0,3,13.0,0.0
Patrik Wiktorssons Byggservice AB,5591634968,2.0,47.0,3.0,2,2.0,0.0
Emil Lundgren International Aktiebolag,5562271931,2.0,58.0,9.0,8,44.0,0.0
Karlatornet Entreprenad AB,5591865554,3.0,48.0,13.0,11,26.0,0.0
Hagmans Solenergi AB,5563628097,2.0,49.0,20.0,19,17.0,0.0
AFG Vent AB,5591308969,2.0,65.0,2.0,1,7.0,0.0
Cancosta AB,5590501457,2.0,43.0,2.0,1,12.0,0.0
Bonden 7 Gustavslund AB,5591050009,5.0,47.0,10.0,9,5.0,0.0
Svenska Boställen AB,5591975288,6.0,61.0,17.0,15,34.0,0.0
AL Nymilsgatan AB,5567903678,4.0,61.0,22.0,21,45.0,0.0
Trippel Måleri AB,5592189632,2.0,34.0,3.0,2,1.0,0.0
Mälarsjö Samhällsfastigheter AB,5592186083,4.0,60.0,5.0,4,13.0,0.0
Tärnehill Invest AB,5590449970,2.0,53.0,18.0,17,12.0,0.0
Canestedt Stenbeck & Videli AB,5569800435,3.0,37.0,2.0,1,2.0,0.0
Göteborgs Mark- & Fastighetsexploatör AB,5591968903,4.0,48.0,2.0,1,0.0,0.0
XER Projekt AB,5592003478,3.0,43.0,6.0,2,3.0,0.0
Studio Alight AB,5591480529,3.0,44.0,3.0,2,5.0,0.0
Stätten Gård AB,5590405790,3.0,55.0,3.0,2,1.0,0.0
GH Bygg och Fastighet AB,5592340664,3.0,41.0,5.0,3,3.0,0.0
Green Construction i Västsverige Aktiebolag,5591688790,2.0,47.0,4.0,3,3.0,0.0
Truci AB,5591528707,3.0,30.0,2.0,1,0.0,0.0
Volt & Ampere Väst AB,5569182800,4.0,46.0,7.0,6,4.0,0.0
Nordic Track; Bridge & Tunnel AB,5569937401,2.0,51.0,3.0,2,3.0,0.0
UE Byggkonsult AB,5569813479,4.0,61.0,2.0,1,0.0,0.0
Marcus Maskiner Vargön AB,5590034939,2.0,43.0,6.0,5,6.0,0.0
Keramik & Våtrums Konsult i Göteborg AB,5591829147,2.0,38.0,5.0,4,13.0,0.0
K-Tech Consulting AB,5590369210,2.0,47.0,2.0,1,1.0,0.0
Skagerrak Bostads AB,5591232375,2.0,32.0,9.0,6,17.0,0.0
Hinnovation AB,5567544555,2.0,47.0,2.0,1,4.0,0.0
Pagajo AB,5568089154,2.0,54.0,13.0,12,22.0,0.0
Frihälls Bygg AB,5590469275,2.0,66.0,2.0,1,1.0,0.0
Europa Tak AB,5590495049,2.0,52.0,3.0,2,7.0,0.0
Creative Prince 72 AB,5568904758,3.0,68.0,2.0,1,1.0,0.0
ALL Landelius Koncept AB,5568286552,2.0,44.0,2.0,1,1.0,0.0
Kustutveckling i väst AB,5569189722,2.0,51.0,4.0,3,3.0,0.0
Neon Lodge AB,5592103658,3.0,37.0,2.0,1,0.0,0.0
Enquist & Partners AB,5591061212,2.0,43.0,2.0,1,19.0,0.0
Skafferiet kommunikation AB,5569667842,4.0,50.0,2.0,1,1.0,0.0
Geminata AB,5563010221,3.0,70.0,5.0,4,7.0,0.0
UPFLOW AB,5569423782,2.0,29.0,2.0,1,1.0,0.0
Nylander Arkitektur AB,5564090842,2.0,65.0,3.0,2,3.0,0.0
Torust AB,5569206039,2.0,50.0,3.0,2,6.0,0.0
Daniel Holding AB,5569956815,2.0,34.0,7.0,5,14.0,0.0
Ulf Klevbrant AB,5565919197,2.0,37.0,3.0,2,13.0,0.0
Ancher Design AB,5569783227,3.0,50.0,2.0,1,7.0,0.0
A.K El & Bygg AB,5590295274,2.0,55.0,2.0,1,1.0,0.0
Väster Konsult & Entreprenad Teknik AB,5590543400,4.0,45.0,3.0,2,1.0,0.0
FC Maritima AB,5568021462,2.0,58.0,3.0,2,2.0,0.0
PL Projekt AB,5568648553,2.0,48.0,2.0,1,3.0,0.0
Hastaco AB,5569187940,2.0,59.0,5.0,3,6.0,0.0
Elmontage i Vedum AB,5565754966,2.0,62.0,2.0,1,1.0,0.0
Östra Kinds Elkraft AB,5591858351,7.0,55.0,2.0,1,6.0,0.0
Gilyard AB,5568732357,2.0,45.0,6.0,4,1.0,0.0
Beer n Fries Design AB,5592619851,3.0,42.0,2.0,1,1.0,0.0
Projektbygg i Västsverige AB,5591163109,2.0,36.0,4.0,3,7.0,0.0
VON OCH COMPANY Aktiebolag,5569020489,2.0,59.0,4.0,3,4.0,0.0
Brigolo AB,5567438576,2.0,47.0,6.0,5,6.0,0.0
Aktiebolaget Hans Assarsson Inredningsarkitekt,5564611886,2.0,75.0,2.0,1,11.0,0.0
LH Melander AB,5590528856,5.0,43.0,2.0,1,1.0,0.0
Wellbo Fastighetsutveckling AB,5591288856,7.0,57.0,6.0,5,31.0,0.0
